Position,Data1,Data2
0.2,-0.08626,0.09415
0.4,-0.08688,0.09443
0.6,-0.08796,0.09534
0.8,-0.08855,0.09565
1,-0.08917,0.09597
1.2,-0.08985,0.09629
1.4,-0.09052,0.09664
1.6,-0.09111,0.09698
1.8,-0.09181,0.09737
2,-0.09202,0.09711
2.2,-0.09306,0.0982
2.4,-0.09368,0.09856
2.6,-0.09429,0.09897
2.8,-0.095,0.09939
3,-0.0957,0.0999
3.2,-0.09628,0.10031
3.4,-0.09699,0.10071
3.6,-0.09761,0.10115
3.8,-0.09784,0.10091
4,-0.09857,0.10139
4.2,-0.09966,0.10266
4.4,-0.1003,0.10315
4.6,-0.10097,0.10364
4.8,-0.10165,0.10416
5,-0.10245,0.10469
5.2,-0.10307,0.10523
5.4,-0.10377,0.10576
5.6,-0.10448,0.10641
5.8,-0.10524,0.10706
6,-0.10603,0.10747
6.2,-0.10655,0.10802
6.4,-0.10734,0.1086
6.6,-0.10805,0.10919
6.8,-0.10879,0.10983
7,-0.10953,0.11043
7.2,-0.11027,0.11107
7.4,-0.11103,0.11175
7.6,-0.11178,0.11252
7.8,-0.11253,0.11303
8,-0.11335,0.11368
8.2,-0.11405,0.11433
8.4,-0.11486,0.11504
8.6,-0.11566,0.11575
8.8,-0.11654,0.11645
9,-0.11722,0.11717
9.2,-0.11813,0.11788
9.4,-0.11886,0.11861
9.6,-0.1197,0.11938
9.8,-0.12053,0.12012
10,-0.12131,0.12087
10.2,-0.12221,0.12163
10.4,-0.12301,0.12243
10.6,-0.12393,0.1232
10.8,-0.12476,0.12401
11,-0.12571,0.12483
11.2,-0.12655,0.12567
11.4,-0.1267,0.12548
11.6,-0.12829,0.12733
11.8,-0.12853,0.12715
12,-0.13011,0.12906
12.2,-0.13108,0.12992
12.4,-0.13201,0.13081
12.6,-0.13295,0.13172
12.8,-0.13387,0.13261
13,-0.13474,0.13347
13.2,-0.13494,0.1333
13.4,-0.13593,0.13421
13.6,-0.13771,0.13626
13.8,-0.13868,0.13716
14,-0.13962,0.1381
14.2,-0.14065,0.13907
14.4,-0.14166,0.14002
14.6,-0.1427,0.14098
14.8,-0.14378,0.14197
15,-0.14499,0.14298
15.2,-0.14581,0.14403
15.4,-0.14683,0.14508
15.6,-0.14791,0.14615
15.8,-0.14902,0.14719
16,-0.15003,0.14825
16.2,-0.15019,0.14809
16.4,-0.15124,0.14917
16.6,-0.15329,0.15152
16.8,-0.15442,0.15264
17,-0.15553,0.15372
17.2,-0.15668,0.15487
17.4,-0.15782,0.15597
17.6,-0.15903,0.15708
17.8,-0.1602,0.15821
18,-0.16139,0.15938
18.2,-0.16153,0.15918
18.4,-0.16273,0.16036
18.6,-0.165,0.16287
18.8,-0.16617,0.1641
19,-0.16735,0.1653
19.2,-0.1686,0.1665
19.4,-0.16983,0.16772
19.6,-0.17112,0.16897
19.8,-0.17242,0.17022
20,-0.17376,0.17147
20.2,-0.17485,0.1727
20.4,-0.17622,0.17398
20.6,-0.17749,0.17524
20.8,-0.17872,0.17649
21,-0.18008,0.1778
21.2,-0.18134,0.17913
21.4,-0.18265,0.18044
21.6,-0.18405,0.18175
21.8,-0.18535,0.18312
22,-0.18668,0.18448
